OUTCOME,NAME,TEAM_CITY,HOME,DATE,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,MIN,OREB,PF,PTS,REB,START_POSITION,STL,TO
0,Trey Lyles,Utah,1,04_13_16,3,0,9,6,2,33,15,7,47,3,2,67,39,2,2,18,11,F,5,3
0,Jeff Withey,Utah,1,04_13_16,1,1,8,0,0,0,7,4,57,3,2,67,28,1,3,10,9,C,1,1
0,Rodney Hood,Utah,1,04_13_16,3,0,1,2,0,0,7,2,29,0,0,0,18,1,1,4,2,G,1,1
0,Shelvin Mack,Utah,1,04_13_16,6,0,4,4,0,0,12,5,42,2,2,100,35,1,2,12,5,G,0,3
0,Raul Neto,Utah,1,04_13_16,4,0,1,2,0,0,7,4,57,0,0,0,19,0,0,8,1,N/A,0,0
0,Trevor Booker,Utah,1,04_13_16,2,0,3,0,0,0,7,4,57,2,0,0,29,2,3,8,5,N/A,1,1
0,Joe Ingles,Utah,1,04_13_16,4,0,1,7,4,57,7,4,57,0,0,0,21,0,1,12,1,N/A,2,0
0,Chris Johnson,Utah,1,04_13_16,1,0,2,3,1,33,5,3,60,0,0,0,20,0,2,7,2,N/A,0,2
0,Trey Burke,Utah,1,04_13_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Alec Burks,Utah,1,04_13_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Derrick Favors,Utah,1,04_13_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Tibor Pleiss,Utah,1,04_13_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Kobe Bryant,Los Angeles,0,04_13_16,4,1,4,21,6,29,50,22,44,12,10,83,42,0,1,60,4,F,1,2
0,Julius Randle,Los Angeles,0,04_13_16,1,1,9,0,0,0,4,1,25,0,0,0,33,0,2,2,9,F,1,1
0,Roy Hibbert,Los Angeles,0,04_13_16,2,0,3,0,0,0,3,2,67,0,0,0,21,3,2,4,6,C,0,1
0,Jordan Clarkson,Los Angeles,0,04_13_16,1,0,5,1,0,0,10,6,60,0,0,0,34,2,1,12,7,G,1,1
0,D'Angelo Russell,Los Angeles,0,04_13_16,5,0,4,3,0,0,10,4,40,1,1,100,36,0,3,9,4,G,2,2
0,Marcelo Huertas,Los Angeles,0,04_13_16,6,0,4,0,0,0,2,1,50,0,0,0,26,0,2,2,4,N/A,0,3
0,Larry Nance Jr.,Los Angeles,0,04_13_16,0,0,5,0,0,0,3,3,100,2,2,100,28,1,2,8,6,N/A,1,1
0,Tarik Black,Los Angeles,0,04_13_16,0,1,5,0,0,0,3,2,67,0,0,0,18,2,4,4,7,N/A,0,2
0,Ryan Kelly,Los Angeles,0,04_13_16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N/A,0,0
0,Brandon Bass,Los Angeles,0,04_13_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
